Reaction,Conditions,well
929EDL2056-039,DPEO_K2CO3_CuI_DMF,G5
929EDL2056-040,DPEO_K2CO3_Cu(OTf)2_DMF,H5
929EDL2056-041,DMPO_K3PO4_CuI_Dioxane,A6
929EDL2056-042,DMPO_K3PO4_Cu(OTf)2_Dioxane,B6
929EDL2056-043,DMPO_K2CO3_CuI_Dioxane,C6
929EDL2056-044,DMPO_K2CO3_Cu(OTf)2_Dioxane,D6
929EDL2056-045,DMPO_K3PO4_CuI_DMF,E6
929EDL2056-046,DMPO_K3PO4_Cu(OTf)2_DMF,F6
929EDL2056-047,DMPO_K2CO3_CuI_DMF,G6
929EDL2056-048,DMPO_K2CO3_Cu(OTf)2_DMF,H6
929EDL2056-049,"4,4'-(tBu)bpy_K3PO4_CuI_Dioxane",A7
929EDL2056-050,"4,4'-(tBu)bpy_K3PO4_Cu(OTf)2_Dioxane",B7
929EDL2056-051,"4,4'-(tBu)bpy_K2CO3_CuI_Dioxane",C7
929EDL2056-052,"4,4'-(tBu)bpy_K2CO3_Cu(OTf)2_Dioxane",D7
929EDL2056-053,"4,4'-(tBu)bpy_K3PO4_CuI_DMF",E7
929EDL2056-054,"4,4'-(tBu)bpy_K3PO4_Cu(OTf)2_DMF",F7
929EDL2056-055,"4,4'-(tBu)bpy_K2CO3_CuI_DMF",G7
929EDL2056-056,"4,4'-(tBu)bpy_K2CO3_Cu(OTf)2_DMF",H7
929EDL2056-057,TMEDA_K3PO4_CuI_Dioxane,A8
929EDL2056-058,TMEDA_K3PO4_Cu(OTf)2_Dioxane,B8
929EDL2056-059,TMEDA_K2CO3_CuI_Dioxane,C8
929EDL2056-060,TMEDA_K2CO3_Cu(OTf)2_Dioxane,D8
929EDL2056-061,TMEDA_K3PO4_CuI_DMF,E8
929EDL2056-062,TMEDA_K3PO4_Cu(OTf)2_DMF,F8
929EDL2056-063,TMEDA_K2CO3_CuI_DMF,G8
929EDL2056-064,TMEDA_K2CO3_Cu(OTf)2_DMF,H8
929EDL2056-065,DMCyDA_K3PO4_CuI_Dioxane,A9
929EDL2056-066,DMCyDA_K3PO4_Cu(OTf)2_Dioxane,B9
929EDL2056-067,DMCyDA_K2CO3_CuI_Dioxane,C9
929EDL2056-068,DMCyDA_K2CO3_Cu(OTf)2_Dioxane,D9
929EDL2056-069,DMCyDA_K3PO4_CuI_DMF,E9
929EDL2056-070,DMCyDA_K3PO4_Cu(OTf)2_DMF,F9
929EDL2056-071,DMCyDA_K2CO3_CuI_DMF,G9
929EDL2056-072,DMCyDA_K2CO3_Cu(OTf)2_DMF,H9
929EDL2056-073,"1,10-phen_K3PO4_CuI_Dioxane",A10
929EDL2056-074,"1,10-phen_K3PO4_Cu(OTf)2_Dioxane",B10
929EDL2056-075,"1,10-phen_K2CO3_CuI_Dioxane",C10
929EDL2056-076,"1,10-phen_K2CO3_Cu(OTf)2_Dioxane",D10
929EDL2056-077,"1,10-phen_K3PO4_CuI_DMF",E10
929EDL2056-078,"1,10-phen_K3PO4_Cu(OTf)2_DMF",F10
929EDL2056-079,"1,10-phen_K2CO3_CuI_DMF",G10
929EDL2056-080,"1,10-phen_K2CO3_Cu(OTf)2_DMF",H10
929EDL2056-081,"4,4'-(Me)bpy_K3PO4_CuI_Dioxane",A11
929EDL2056-082,"4,4'-(Me)bpy_K3PO4_Cu(OTf)2_Dioxane",B11
929EDL2056-083,"4,4'-(Me)bpy_K2CO3_CuI_Dioxane",C11
929EDL2056-084,"4,4'-(Me)bpy_K2CO3_Cu(OTf)2_Dioxane",D11
929EDL2056-085,"4,4'-(Me)bpy_K3PO4_CuI_DMF",E11
929EDL2056-086,"4,4'-(Me)bpy_K3PO4_Cu(OTf)2_DMF",F11
929EDL2056-087,"4,4'-(Me)bpy_K2CO3_CuI_DMF",G11
929EDL2056-088,"4,4'-(Me)bpy_K2CO3_Cu(OTf)2_DMF",H11
929EDL2056-089,"4,4'-(OMe)bpy_K3PO4_CuI_Dioxane",A12
929EDL2056-090,"4,4'-(OMe)bpy_K3PO4_Cu(OTf)2_Dioxane",B12
929EDL2056-091,"4,4'-(OMe)bpy_K2CO3_CuI_Dioxane",C12
929EDL2056-092,"4,4'-(OMe)bpy_K2CO3_Cu(OTf)2_Dioxane",D12
929EDL2056-093,"4,4'-(OMe)bpy_K3PO4_CuI_DMF",E12
929EDL2056-094,"4,4'-(OMe)bpy_K3PO4_Cu(OTf)2_DMF",F12
929EDL2056-095,"4,4'-(OMe)bpy_K2CO3_CuI_DMF",G12
929EDL2056-096,"4,4'-(OMe)bpy_K2CO3_Cu(OTf)2_DMF",H12
