Reaction,Conditions,Ligand,Base,Cu,Cu_loading_mol%,Solvent,Well
SCREEN2-048,DMCyDA_Cs2CO3_Cu2O_10mol%_DMF,DMCyDA,Cs2CO3,Cu2O,10,DMF,D12
SCREEN2-049,DMCyDA_K3PO4_CuI_5mol%_Dioxane,DMCyDA,K3PO4,CuI,5,Dioxane,E1
SCREEN2-050,DMCyDA_K3PO4_CuI_10mol%_Dioxane,DMCyDA,K3PO4,CuI,10,Dioxane,E2
SCREEN2-051,DMCyDA_K3PO4_Cu(OTf)2_5mol%_Dioxane,DMCyDA,K3PO4,Cu(OTf)2,5,Dioxane,E3
SCREEN2-052,DMCyDA_K3PO4_Cu(OTf)2_10mol%_Dioxane,DMCyDA,K3PO4,Cu(OTf)2,10,Dioxane,E4
SCREEN2-053,DMCyDA_K3PO4_CuBr_5mol%_Dioxane,DMCyDA,K3PO4,CuBr,5,Dioxane,E5
SCREEN2-054,DMCyDA_K3PO4_CuBr_10mol%_Dioxane,DMCyDA,K3PO4,CuBr,10,Dioxane,E6
SCREEN2-055,DMCyDA_K3PO4_CuCl_5mol%_Dioxane,DMCyDA,K3PO4,CuCl,5,Dioxane,E7
SCREEN2-056,DMCyDA_K3PO4_CuCl_10mol%_Dioxane,DMCyDA,K3PO4,CuCl,10,Dioxane,E8
SCREEN2-057,DMCyDA_K3PO4_Cu(OAc)2_5mol%_Dioxane,DMCyDA,K3PO4,Cu(OAc)2,5,Dioxane,E9
SCREEN2-058,DMCyDA_K3PO4_Cu(OAc)2_10mol%_Dioxane,DMCyDA,K3PO4,Cu(OAc)2,10,Dioxane,E10
SCREEN2-059,DMCyDA_K3PO4_Cu2O_5mol%_Dioxane,DMCyDA,K3PO4,Cu2O,5,Dioxane,E11
SCREEN2-060,DMCyDA_K3PO4_Cu2O_10mol%_Dioxane,DMCyDA,K3PO4,Cu2O,10,Dioxane,E12
SCREEN2-061,DMCyDA_K3PO4_CuI_5mol%_DMF,DMCyDA,K3PO4,CuI,5,DMF,F1
SCREEN2-062,DMCyDA_K3PO4_CuI_10mol%_DMF,DMCyDA,K3PO4,CuI,10,DMF,F2
SCREEN2-063,DMCyDA_K3PO4_Cu(OTf)2_5mol%_DMF,DMCyDA,K3PO4,Cu(OTf)2,5,DMF,F3
SCREEN2-064,DMCyDA_K3PO4_Cu(OTf)2_10mol%_DMF,DMCyDA,K3PO4,Cu(OTf)2,10,DMF,F4
SCREEN2-065,DMCyDA_K3PO4_CuBr_5mol%_DMF,DMCyDA,K3PO4,CuBr,5,DMF,F5
SCREEN2-066,DMCyDA_K3PO4_CuBr_10mol%_DMF,DMCyDA,K3PO4,CuBr,10,DMF,F6
SCREEN2-067,DMCyDA_K3PO4_CuCl_5mol%_DMF,DMCyDA,K3PO4,CuCl,5,DMF,F7
SCREEN2-068,DMCyDA_K3PO4_CuCl_10mol%_DMF,DMCyDA,K3PO4,CuCl,10,DMF,F8
SCREEN2-069,DMCyDA_K3PO4_Cu(OAc)2_5mol%_DMF,DMCyDA,K3PO4,Cu(OAc)2,5,DMF,F9
SCREEN2-070,DMCyDA_K3PO4_Cu(OAc)2_10mol%_DMF,DMCyDA,K3PO4,Cu(OAc)2,10,DMF,F10
SCREEN2-071,DMCyDA_K3PO4_Cu2O_5mol%_DMF,DMCyDA,K3PO4,Cu2O,5,DMF,F11
SCREEN2-072,DMCyDA_K3PO4_Cu2O_10mol%_DMF,DMCyDA,K3PO4,Cu2O,10,DMF,F12
SCREEN2-073,DMCyDA_K2CO3_CuI_5mol%_DMSO,DMCyDA,K2CO3,CuI,5,DMSO,G1
SCREEN2-074,DMCyDA_K2CO3_CuI_10mol%_DMSO,DMCyDA,K2CO3,CuI,10,DMSO,G2
SCREEN2-075,DMCyDA_K2CO3_Cu(OTf)2_5mol%_DMSO,DMCyDA,K2CO3,Cu(OTf)2,5,DMSO,G3
SCREEN2-076,DMCyDA_K2CO3_Cu(OTf)2_10mol%_DMSO,DMCyDA,K2CO3,Cu(OTf)2,10,DMSO,G4
SCREEN2-077,DMCyDA_K2CO3_CuBr_5mol%_DMSO,DMCyDA,K2CO3,CuBr,5,DMSO,G5
SCREEN2-078,DMCyDA_K2CO3_CuBr_10mol%_DMSO,DMCyDA,K2CO3,CuBr,10,DMSO,G6
SCREEN2-079,DMCyDA_K2CO3_CuCl_5mol%_DMSO,DMCyDA,K2CO3,CuCl,5,DMSO,G7
SCREEN2-080,DMCyDA_K2CO3_CuCl_10mol%_DMSO,DMCyDA,K2CO3,CuCl,10,DMSO,G8
SCREEN2-081,DMCyDA_K2CO3_Cu(OAc)2_5mol%_DMSO,DMCyDA,K2CO3,Cu(OAc)2,5,DMSO,G9
SCREEN2-082,DMCyDA_K2CO3_Cu(OAc)2_10mol%_DMSO,DMCyDA,K2CO3,Cu(OAc)2,10,DMSO,G10
SCREEN2-083,DMCyDA_K2CO3_Cu2O_5mol%_DMSO,DMCyDA,K2CO3,Cu2O,5,DMSO,G11
SCREEN2-084,DMCyDA_K2CO3_Cu2O_10mol%_DMSO,DMCyDA,K2CO3,Cu2O,10,DMSO,G12
SCREEN2-085,DMCyDA_K2CO3_CuI_5mol%_MeCN,DMCyDA,K2CO3,CuI,5,MeCN,H1
SCREEN2-086,DMCyDA_K2CO3_CuI_10mol%_MeCN,DMCyDA,K2CO3,CuI,10,MeCN,H2
SCREEN2-087,DMCyDA_K2CO3_Cu(OTf)2_5mol%_MeCN,DMCyDA,K2CO3,Cu(OTf)2,5,MeCN,H3
SCREEN2-088,DMCyDA_K2CO3_Cu(OTf)2_10mol%_MeCN,DMCyDA,K2CO3,Cu(OTf)2,10,MeCN,H4
SCREEN2-089,DMCyDA_K2CO3_CuBr_5mol%_MeCN,DMCyDA,K2CO3,CuBr,5,MeCN,H5
SCREEN2-090,DMCyDA_K2CO3_CuBr_10mol%_MeCN,DMCyDA,K2CO3,CuBr,10,MeCN,H6
SCREEN2-091,DMCyDA_K2CO3_CuCl_5mol%_MeCN,DMCyDA,K2CO3,CuCl,5,MeCN,H7
SCREEN2-092,DMCyDA_K2CO3_CuCl_10mol%_MeCN,DMCyDA,K2CO3,CuCl,10,MeCN,H8
SCREEN2-093,DMCyDA_K2CO3_Cu(OAc)2_5mol%_MeCN,DMCyDA,K2CO3,Cu(OAc)2,5,MeCN,H9
SCREEN2-094,DMCyDA_K2CO3_Cu(OAc)2_10mol%_MeCN,DMCyDA,K2CO3,Cu(OAc)2,10,MeCN,H10
SCREEN2-095,DMCyDA_K2CO3_Cu2O_5mol%_MeCN,DMCyDA,K2CO3,Cu2O,5,MeCN,H11
SCREEN2-096,DMCyDA_K2CO3_Cu2O_10mol%_MeCN,DMCyDA,K2CO3,Cu2O,10,MeCN,H12
